MFCC_mean_1,MFCC_mean_2,MFCC_mean_3,MFCC_mean_4,MFCC_mean_5,MFCC_mean_6,MFCC_mean_7,MFCC_mean_8,MFCC_mean_9,MFCC_mean_10,MFCC_mean_11,MFCC_mean_12,MFCC_mean_13,MFCC_mean_14,MFCC_mean_15,MFCC_mean_16,MFCC_mean_17,MFCC_mean_18,MFCC_mean_19,MFCC_mean_20,MFCC_mean_21,MFCC_mean_22,MFCC_mean_23,MFCC_mean_24,MFCC_mean_25,MFCC_mean_26,MFCC_mean_27,MFCC_mean_28,MFCC_mean_29,MFCC_mean_30,MFCC_std_1,MFCC_std_2,MFCC_std_3,MFCC_std_4,MFCC_std_5,MFCC_std_6,MFCC_std_7,MFCC_std_8,MFCC_std_9,MFCC_std_10,MFCC_std_11,MFCC_std_12,MFCC_std_13,MFCC_std_14,MFCC_std_15,MFCC_std_16,MFCC_std_17,MFCC_std_18,MFCC_std_19,MFCC_std_20,MFCC_std_21,MFCC_std_22,MFCC_std_23,MFCC_std_24,MFCC_std_25,MFCC_std_26,MFCC_std_27,MFCC_std_28,MFCC_std_29,MFCC_std_30,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,Zero_Crossing_Rate,RMS_Energy,Chroma_STFT,label
-758.36774,41.505947,-6.59334,-11.540701,-13.173833,1.0510011,-1.8415656,-1.9807016,-1.0619811,0.41638973,-0.28823265,-4.346929,-5.959692,-1.9847608,0.10199814,2.2323728,2.8473675,-1.6530788,-5.0533643,2.1396506,-3.0989232,0.3438617,-2.2040374,0.20924135,-0.65801936,-1.1919594,-0.54397297,1.8075168,0.91092026,1.1193217,128.52751,62.399063,38.990395,30.031935,25.278442,22.223478,14.961831,19.044615,14.573333,13.76561,10.990825,16.20334,13.253417,14.507749,13.109086,13.137236,17.13048,7.7060614,7.7266383,6.4576287,6.704904,8.179804,6.622839,7.9266853,6.666479,5.9565754,5.286767,8.214342,8.408473,8.042417,1366.1434833772962,947.3403009638677,2367.1516628440368,0.29291499426605505,0.000389916,0.39260715,4
-641.42346,19.306051,-0.31077227,1.4515795,-14.381062,2.274873,-4.2047167,-6.2712555,-6.413025,-3.4780438,-5.3580713,0.22236785,-5.353867,-2.6820345,-4.8898067,-3.7450914,-3.0956666,-1.1405108,-3.3992822,-1.5453771,-1.0483848,0.24661903,-0.5867656,-1.340905,-0.9030517,-1.2175277,-1.1586641,-1.6063951,0.34657457,-0.6932655,153.93704,47.044853,38.123302,26.579659,36.86859,17.756966,24.667238,16.556396,15.762471,10.335738,12.795027,13.178599,11.375459,8.8678,10.695638,7.5892587,7.3354177,7.824224,5.4965544,7.0089355,5.9292035,4.801554,6.313903,4.8434505,4.3778715,3.4638054,3.7799704,4.988985,3.943446,3.9866154,1263.3285724669147,875.1958426604493,2194.5167824074074,0.22862865306712962,0.003668487,0.3360862,4
-330.82144,42.78522,-24.142183,-22.857512,-9.136889,11.163638,-13.072722,-10.867841,-20.665728,-5.544554,-7.222323,6.8590865,-3.4517725,-8.812664,-7.552218,-4.419121,-11.879422,-7.0783534,-9.88246,-3.4007196,-4.4951396,-0.20622815,-4.655917,-1.3824805,-0.5848521,-1.8996178,-2.1206856,-6.2440886,-0.37074336,-1.5208637,126.10589,88.22509,48.56038,36.676914,27.259945,21.77878,29.462519,21.742128,23.017471,25.406624,25.941526,22.146105,24.61338,25.642883,18.768627,17.580082,16.515375,13.381,11.140687,10.553246,13.757878,16.54259,14.15412,11.953077,8.4493685,8.894992,9.916412,12.726959,15.03309,8.3402815,1231.598874621306,649.6213241,1896.9460227272727,0.23961292613636365,0.055028882,0.21587229,2
-361.4672,-2.4875484,-44.27338,-27.074146,-27.705313,-10.262399,-23.080029,7.7928433,-14.552779,-2.6767292,10.490235,20.867054,-0.89294213,-2.3184283,-10.260765,-0.23292002,-3.5391138,-0.25945285,2.3150947,4.16152,0.685378,6.160319,2.730934,-0.42691216,0.15735188,-1.8113277,-1.6136444,-2.0373745,-2.8640862,0.8737959,195.83995,62.68861,42.955547,50.68837,35.33991,25.51499,35.46334,19.803802,19.826641,23.499004,30.270119,34.546875,33.29941,19.760471,14.389176,11.993173,15.993276,18.127502,9.823839,10.959765,15.229937,15.734904,15.399776,12.460259,9.882595,10.571754,12.206298,11.848981,15.32236,9.0855665,1483.4059889199486,728.9715558,2240.9446022727275,0.288818359,0.03750933,0.2836692,4
-727.0958,23.19469,-21.869894,-0.74537647,-5.4174156,-1.5745825,-4.5274115,-9.153833,-8.53307,1.206148,8.365304,11.994774,-1.7411377,-5.928524,-1.2455395,2.4543595,-7.6833057,-3.5555894,0.21805102,-0.13083404,5.368918,9.56833,-1.5108025,-2.5287936,-0.31061533,0.09984237,-0.07334281,-4.310291,-1.4184065,4.1197486,148.62648,47.030823,59.180717,30.113913,34.27684,19.14514,12.751431,17.056381,15.3685465,12.582245,14.233759,18.62684,14.114723,16.800642,10.056003,10.231836,11.222223,8.760825,8.1343565,5.394971,14.50817,18.651651,10.864304,8.098585,4.134983,6.327216,5.6977515,12.354669,11.446018,6.889823,1357.8826761999899,931.5576929300981,2393.7355324074074,0.25849971064814814,0.001531461,0.35061648,4
-573.7689,12.766507,-17.192007,-21.917118,-16.875519,-3.5620103,-8.380021,-3.2347677,-6.3975787,-0.79077125,1.8858452,9.831205,6.0091996,0.69716483,-7.343361,-3.8579476,-3.0725074,-3.4648092,-2.2097208,0.14751962,0.7606095,1.1534468,2.573412,1.368961,-1.5517862,-1.2699007,-1.1363544,0.2584389,-2.6273892,-2.5695338,157.19232,62.584084,33.85845,33.046482,20.546043,14.375955,13.81952,13.802707,12.946347,19.134958,16.185001,18.210226,19.336212,18.216516,13.620266,12.483022,8.489581,10.972613,5.992249,10.627577,9.1377535,11.403923,13.467251,9.574625,7.826306,7.51784,10.651598,9.547567,9.50802,5.7619905,1278.1778349149613,733.4734327,1996.6145833333333,0.22680896577380952,0.010723019,0.26598358,4
-608.1637,26.178825,-40.036133,-5.929282,-30.01295,2.7226737,-15.111446,-8.128632,-16.20299,-1.3929578,5.656831,14.0483885,4.235761,2.427281,-8.423995,-0.14159869,-7.129304,-8.500327,-0.3434614,-1.2647387,0.54133296,3.9707694,0.9708598,-1.7087922,0.25435597,-1.981286,-3.4502125,-4.4752393,-1.9027008,-1.7540925,138.45291,50.63359,70.77981,33.86762,36.474552,20.71543,23.356787,17.425417,20.803778,23.283478,19.56287,27.723475,27.980583,22.309717,21.4672,16.055294,17.232964,17.468647,13.778935,9.612874,17.57918,16.951517,15.226388,12.666022,7.914962,9.267163,11.587166,12.599391,13.746049,7.172802,1399.0078781951302,835.4263558,2280.1339285714284,0.30840308779761905,0.002423736,0.2703537,4
-551.0595,18.720078,-10.707234,-6.1278615,-13.5407095,-5.976683,-9.439402,-10.16356,-19.866684,-8.643974,-1.8209187,8.544925,2.4353383,-6.4342294,-14.411578,-2.4638753,-0.52743345,-4.8773108,-2.3008099,1.1187458,-1.6422899,0.49006125,6.761784,1.7881953,0.41136464,-1.8991367,-3.676704,0.09360395,-3.2654557,-2.1755245,154.38019,71.122574,43.97798,29.854439,25.785051,19.513954,16.131077,13.658889,15.686362,17.777382,16.964752,22.007025,21.389454,14.9845,17.106293,11.9458275,10.208117,10.941126,7.1712704,6.9516735,12.518053,14.762821,14.381318,9.569097,8.694015,6.7351837,8.263808,12.253952,9.941542,7.083911,1104.578406690626,643.9326993956656,1595.8946078431372,0.21371878829656862,0.013989201,0.2686593,4
-468.54883,71.263985,-7.168978,-0.7668884,-12.91136,-15.441099,-12.19925,2.9610136,-7.5719786,-1.0862963,0.15560588,-0.3785471,-0.88953185,-5.9527597,-4.39108,-6.515226,-1.3124505,3.9518812,8.807609,12.918294,7.1228433,-0.44462758,-2.624067,-5.1739078,-1.7108693,0.84585106,2.226882,-3.6634653,-6.4236794,-3.995068,107.37291,64.4451,54.35994,31.30388,34.280346,34.612804,25.675236,26.376163,19.37323,17.030272,11.757734,15.739243,13.824162,14.952696,12.141955,19.42033,12.976352,18.418356,24.167099,18.931755,16.73479,14.45631,16.892305,14.747517,13.850135,13.000573,10.716218,11.095635,12.961678,7.9535475,5596.184257,2860.1769338178947,7494.551595052083,0.2544148763020833,0.04733915,0.24813148,3
-529.9349,18.954525,-49.8268,13.516499,-11.665575,-1.7259742,-11.055096,6.3065686,0.9690465,-0.88234633,0.9971788,-8.199991,1.7628816,1.7542621,-0.06416905,13.382361,19.322529,9.730398,5.2830234,1.469131,-5.144704,-3.4951217,0.7478221,1.8481809,-0.643109,-5.247025,-0.65309995,0.78238904,2.9447577,2.714794,93.029366,71.16909,59.309208,47.734665,22.485085,23.995493,25.17512,13.786829,22.688126,17.206297,13.302919,18.34293,15.621364,13.939523,24.33056,19.46072,19.168459,20.012857,22.343441,19.25985,15.333647,13.018076,14.574554,10.908363,15.496963,17.706553,14.15905,16.09169,13.305102,12.810019,4191.811420027933,2965.5501229422894,7062.191170606148,0.1696261872824826,0.022006337,0.2791229,3
